artwork,abstract,accuracy,animacy,balance,colorsat,colortemp,complexity,depth,emotion,realism,stroke,symbolism,pc1-concreteness,pc2-energy,pc3-colorrad,saliency_standardized
13Raffaello-SposaliziodellaVergine,4.4,1.866666667,3.933333333,2.2,3.866666667,3.066666667,3.333333333,4,3.066666667,3.866666667,1.533333333,3.533333333,-1.148173592,1.273789161,-0.501170371,0.685894277
140abstract,1.333333333,4.8,2.466666667,3.666666667,3.8,4.466666667,2.2,1.466666667,2.4,1.133333333,1.733333333,3.733333333,1.780493169,-0.258414019,0.495870895,-0.226415302
141woman,3.133333333,3.866666667,2.266666667,2.533333333,3.2,2.6,2.266666667,2.133333333,3.066666667,3.266666667,3.266666667,2.133333333,0.552661121,-0.804012762,0.00668523,0.125241661
142girl,4.866666667,1.066666667,2.733333333,2.466666667,2.333333333,3.466666667,1.8,3.466666667,2.666666667,5,1.4,1.933333333,-1.663935833,-0.345378171,0.421175911,-0.249496265
143matisse,3.866666667,3.066666667,2.266666667,2.133333333,4,2.933333333,2.266666667,2.2,3.066666667,4,2,2.066666667,-0.272267977,-0.590119068,-0.747611436,1.105457019
144woman,2.866666667,3.8,2.866666667,2.333333333,1.733333333,4.066666667,2.866666667,2.6,2.066666667,3.6,4.333333333,1.933333333,0.879540988,-0.770233745,2.364690518,0.010150425
145banjo,4.733333333,1.133333333,3.733333333,2.4,2.8,2.533333333,2.266666667,3.066666667,3.4,4.8,1.6,1.933333333,-1.649621795,0.245106353,-0.334256062,-1.583754976
146bridge,4.2,2.133333333,2.133333333,2.8,2.133333333,3.8,2.666666667,4.133333333,1.8,4.4,2.6,1.866666667,-0.792105059,-0.631734196,1.201619183,1.078532217
147flowers,3.466666667,2.866666667,2,3.266666667,2.933333333,3.533333333,2.533333333,2.066666667,2.066666667,4,3.533333333,1.8,0.334440858,-1.291604957,0.756116076,-1.002118055
148trees,4.533333333,1.8,2.933333333,2.4,2.133333333,3.533333333,3.066666667,4.066666667,2.133333333,4.733333333,2.133333333,1.6,-1.257745752,-0.142573071,0.906674303,0.187323295
149spots,1.133333333,4.6,1.666666667,2.933333333,3.2,2.666666667,2.266666667,1.2,1.933333333,1.333333333,2.666666667,3.933333333,1.997487096,-1.181203689,-0.276116999,-1.402335078
14Dali-softconstructionwithboiledbeans,2.133333333,3.533333333,3.333333333,2.333333333,3.666666667,3.466666667,4.066666667,4.133333333,3.466666667,1.133333333,1.8,4.333333333,0.523306897,1.834356502,0.079781376,0.24410132
150shapes,1.266666667,4.533333333,2.066666667,2.333333333,3.133333333,3.133333333,3.333333333,1.8,1.866666667,1.533333333,2.4,3.266666667,1.681119482,-0.647983641,0.048267448,1.078569765
151guitar,1.4,4.533333333,3.866666667,3,4.666666667,2.533333333,4.466666667,1.666666667,3.066666667,1.4,2,4.133333333,1.45419279,1.07574771,-1.203081068,-0.906214237
152horses,3.133333333,4,3.4,2.533333333,4.333333333,2.4,2.6,3,2.8,2.6,3,2.333333333,0.364173197,-0.056604985,-0.673604276,-0.535412412
153eakins,4.6,1.466666667,3.866666667,2.333333333,2.4,2.733333333,2.066666667,3.133333333,3.666666667,4.866666667,2.4,1.533333333,-1.423038133,0.178973131,0.408392181,0.221643669
154eakins,4.666666667,1.266666667,3.933333333,2.666666667,2.8,2.8,2.466666667,3.6,3.733333333,4.6,1.466666667,2,-1.726957599,0.75305593,-0.098897328,-0.141208909
155woman,4.6,1.733333333,4.333333333,2.8,2.333333333,3.2,3,4.133333333,3.666666667,4.666666667,2.266666667,1.8,-1.512855415,1.048925901,0.860068901,-0.443161385
156houses,4.066666667,2.533333333,1.4,1.8,3.866666667,1.733333333,3.133333333,3.666666667,1.933333333,4.2,2,1.6,-0.82980866,-1.056220452,-1.644848264,-1.574188098
157figures,1.666666667,4.933333333,2.8,2.8,3.6,2.866666667,2.866666667,1.6,2.333333333,1.733333333,4.533333333,3.2,2.097562749,-0.697718317,0.498351642,-0.083442771
158appleoil,3.866666667,2.266666667,3.6,2.933333333,3.6,1.8,2.6,1.733333333,2.4,3.8,1.133333333,2.266666667,-0.699325168,-0.426067328,-1.600547513,-0.662915888
159couple,3.933333333,2.333333333,3.4,3.333333333,3.266666667,1.4,2.666666667,3.6,3.6,3.8,2.066666667,2.266666667,-1.022976354,0.371753671,-1.156512477,-0.249279433
15Boticelli-BirthOfVenus,3.666666667,2.8,4.266666667,2.133333333,3.266666667,3.866666667,4,3.533333333,3.4,1.133333333,1.6,4.533333333,0.036534747,2.12215818,0.488032832,-0.450564285
160mr-art-deco-2,3,3.733333333,2.666666667,3.2,4.066666667,3.266666667,3,2,3.066666667,3,2.2,3.2,0.554940863,0.058887463,-0.412127716,1.084467397
161andy-warhol-marilyn,3.666666667,3.2,1.8,1.8,4.333333333,2.8,2.533333333,1.733333333,3.066666667,3.2,1.8,2.733333333,0.127679656,-0.574965148,-1.228617789,1.515219618
162drawing,1.533333333,4.733333333,2.466666667,2.6,2.533333333,2.666666667,2.6,1.8,2.666666667,1.733333333,4.266666667,3.6,1.980970217,-0.628005711,0.869193684,-0.516422401
163garden_fresh_tomato,3.933333333,3,1.2,2.333333333,3,2.066666667,2.2,2.4,1.6,4.133333333,3.533333333,1.466666667,0.053508471,-2.109069069,-0.42368145,-0.114473804
164peaceful_eve,2.533333333,3.4,2.733333333,2.4,2.333333333,4.2,2,2.2,2.533333333,2.533333333,4.133333333,1.933333333,1.02507722,-0.822724735,2.027039367,0.306761624
165birds_of_a_feather,1.8,4.466666667,3.2,2.6,3.533333333,2.933333333,3.466666667,1.866666667,2.6,1.4,3,3.466666667,1.550430219,0.123817433,0.049194403,-0.802035935
166abstract,1.533333333,4.733333333,3.2,2.333333333,4.266666667,2.466666667,3.933333333,2,3.4,1.466666667,2.733333333,3.866666667,1.538068636,0.727837391,-0.762147239,0.607470906
167trees,4.4,1.8,2,2.333333333,3.066666667,3.8,3.4,3.533333333,2.933333333,4.466666667,2.266666667,1.2,-1.009281675,-0.172701606,0.437765734,0.191703299
168mustache,4.666666667,1.666666667,3.133333333,2.8,3.066666667,3.066666667,2.8,3.333333333,2.733333333,4.666666667,1.533333333,1.933333333,-1.370391556,0.050023532,-0.20859158,-1.224741551
169lighthouse,4.733333333,1.8,1.4,2.466666667,2.866666667,3.533333333,2.4,4,1.666666667,4.6,1.4,1.533333333,-1.32536539,-1.013997797,0.001924029,1.411309336
16Rubens-AdorationOfTheMagi,4.133333333,2.4,4.466666667,2.4,3.4,1.733333333,4.266666667,4,3.666666667,3,2.133333333,3.933333333,-0.782280423,1.872058658,-0.886147549,0.120025375
170abstract,1.8,3.933333333,1.133333333,2.533333333,2.533333333,2.333333333,1.533333333,1.266666667,2.066666667,2.2,3.6,2.866666667,1.57209519,-1.990601719,0.127054516,0.336889336
171coffee,3.8,3.066666667,2.8,2.733333333,2.8,2.8,2.333333333,2,1.866666667,4,2.6,2.266666667,0.006767408,-1.065445522,0.077140434,1.336865375
172piano,1.533333333,4.6,3.533333333,2.066666667,4,2.4,2.933333333,1.8,3.333333333,1.4,2.666666667,3.533333333,1.427588486,0.380891593,-0.605757762,-0.565286063
173chubby,3.933333333,3.466666667,2.866666667,2.733333333,3.066666667,4.133333333,3.066666667,3.2,2.733333333,3.466666667,1.733333333,2.933333333,-0.164251703,0.396295707,0.699656829,0.602149894
174boat,4.2,2.4,2.666666667,3,1.666666667,3.466666667,2.733333333,3,2.333333333,4.466666667,2.2,2.133333333,-0.645724651,-0.441505808,1.087949703,-1.15382031
175the-family-african,3.4,3.666666667,3.066666667,2.266666667,4.2,2.333333333,1.733333333,1.8,3.466666667,3.133333333,2.066666667,2.733333333,0.157227047,-0.285347446,-1.101227762,-0.200312665
17Greco-Toledo,3.266666667,3.133333333,2.533333333,2.4,3.066666667,4.2,3.866666667,3.8,3.066666667,3.333333333,3.266666667,3.2,0.258046876,0.721021144,1.28469197,0.518641246
